root - WARNING - step 0: train loss 2.201447, val loss 2.247372, lr 0.000000, mfu -100.00%
root - WARNING - step 250: train loss 0.586844, val loss 0.732817, lr 0.010000, mfu 0.18%
root - WARNING - step 500: train loss 0.564112, val loss 0.705756, lr 0.009998, mfu 0.18%
root - WARNING - step 750: train loss 0.563617, val loss 0.707833, lr 0.009996, mfu 0.19%
root - WARNING - step 1000: train loss 0.568537, val loss 0.700856, lr 0.009992, mfu 0.18%
root - WARNING - step 1250: train loss 0.553920, val loss 0.698966, lr 0.009987, mfu 0.18%
root - WARNING - step 1500: train loss 0.561423, val loss 0.702040, lr 0.009981, mfu 0.18%
root - WARNING - step 1750: train loss 0.561990, val loss 0.704347, lr 0.009973, mfu 0.18%
root - WARNING - step 2000: train loss 0.544939, val loss 0.687296, lr 0.009965, mfu 0.18%
root - WARNING - step 2250: train loss 0.551000, val loss 0.700691, lr 0.009955, mfu 0.18%
root - WARNING - step 2500: train loss 0.554355, val loss 0.695241, lr 0.009944, mfu 0.18%
root - WARNING - step 2750: train loss 0.546204, val loss 0.698167, lr 0.009931, mfu 0.18%
root - WARNING - step 3000: train loss 0.550102, val loss 0.694459, lr 0.009918, mfu 0.17%
root - WARNING - step 3250: train loss 0.542947, val loss 0.698562, lr 0.009903, mfu 0.19%
root - WARNING - step 3500: train loss 0.546188, val loss 0.683888, lr 0.009887, mfu 0.19%
root - WARNING - step 3750: train loss 0.544244, val loss 0.686852, lr 0.009870, mfu 0.19%
root - WARNING - step 4000: train loss 0.540141, val loss 0.681882, lr 0.009852, mfu 0.18%
root - WARNING - step 4250: train loss 0.543233, val loss 0.691825, lr 0.009832, mfu 0.18%
root - WARNING - step 4500: train loss 0.552128, val loss 0.686415, lr 0.009811, mfu 0.19%
root - WARNING - step 4750: train loss 0.538000, val loss 0.679617, lr 0.009789, mfu 0.19%
root - WARNING - step 5000: train loss 0.541803, val loss 0.690556, lr 0.009766, mfu 0.19%
root - WARNING - step 5250: train loss 0.543421, val loss 0.683344, lr 0.009742, mfu 0.19%
root - WARNING - step 5500: train loss 0.550028, val loss 0.684172, lr 0.009717, mfu 0.19%
root - WARNING - step 5750: train loss 0.541472, val loss 0.680226, lr 0.009690, mfu 0.18%
root - WARNING - step 6000: train loss 0.544320, val loss 0.677824, lr 0.009662, mfu 0.19%
root - WARNING - step 6250: train loss 0.535180, val loss 0.680191, lr 0.009634, mfu 0.19%
root - WARNING - step 6500: train loss 0.540250, val loss 0.681723, lr 0.009604, mfu 0.19%
root - WARNING - step 6750: train loss 0.536463, val loss 0.680517, lr 0.009572, mfu 0.20%
root - WARNING - step 7000: train loss 0.538282, val loss 0.677788, lr 0.009540, mfu 0.18%
root - WARNING - step 7250: train loss 0.538616, val loss 0.680468, lr 0.009507, mfu 0.19%
root - WARNING - step 7500: train loss 0.536148, val loss 0.678022, lr 0.009472, mfu 0.19%
root - WARNING - step 7750: train loss 0.530229, val loss 0.680170, lr 0.009437, mfu 0.18%
root - WARNING - step 8000: train loss 0.537290, val loss 0.676574, lr 0.009400, mfu 0.20%
root - WARNING - step 8250: train loss 0.544809, val loss 0.683136, lr 0.009363, mfu 0.19%
root - WARNING - step 8500: train loss 0.532568, val loss 0.682150, lr 0.009324, mfu 0.18%
root - WARNING - step 8750: train loss 0.535703, val loss 0.670559, lr 0.009284, mfu 0.19%
root - WARNING - step 9000: train loss 0.542679, val loss 0.675507, lr 0.009243, mfu 0.18%
root - WARNING - step 9250: train loss 0.537418, val loss 0.677950, lr 0.009201, mfu 0.18%
root - WARNING - step 9500: train loss 0.534937, val loss 0.675342, lr 0.009158, mfu 0.18%
root - WARNING - step 9750: train loss 0.529327, val loss 0.673358, lr 0.009114, mfu 0.19%
root - WARNING - step 10000: train loss 0.532886, val loss 0.673029, lr 0.009069, mfu 0.18%
root - WARNING - step 10250: train loss 0.537864, val loss 0.674607, lr 0.009023, mfu 0.19%
root - WARNING - step 10500: train loss 0.529878, val loss 0.677476, lr 0.008976, mfu 0.18%
root - WARNING - step 10750: train loss 0.528824, val loss 0.665740, lr 0.008928, mfu 0.19%
root - WARNING - step 11000: train loss 0.532643, val loss 0.678910, lr 0.008879, mfu 0.18%
root - WARNING - step 11250: train loss 0.529480, val loss 0.666176, lr 0.008830, mfu 0.18%
root - WARNING - step 11500: train loss 0.531094, val loss 0.676013, lr 0.008779, mfu 0.18%
root - WARNING - step 11750: train loss 0.528722, val loss 0.671121, lr 0.008727, mfu 0.18%
root - WARNING - step 12000: train loss 0.538853, val loss 0.670629, lr 0.008675, mfu 0.18%
root - WARNING - step 12250: train loss 0.533687, val loss 0.671551, lr 0.008621, mfu 0.18%
root - WARNING - step 12500: train loss 0.539870, val loss 0.675583, lr 0.008567, mfu 0.19%
root - WARNING - step 12750: train loss 0.527011, val loss 0.678339, lr 0.008511, mfu 0.18%
root - WARNING - step 13000: train loss 0.533345, val loss 0.673347, lr 0.008455, mfu 0.18%
root - WARNING - step 13250: train loss 0.521468, val loss 0.670680, lr 0.008398, mfu 0.18%
root - WARNING - step 13500: train loss 0.522342, val loss 0.665326, lr 0.008341, mfu 0.19%
root - WARNING - step 13750: train loss 0.526273, val loss 0.661343, lr 0.008282, mfu 0.18%
root - WARNING - step 14000: train loss 0.534626, val loss 0.670684, lr 0.008223, mfu 0.18%
root - WARNING - step 14250: train loss 0.533031, val loss 0.668772, lr 0.008162, mfu 0.18%
root - WARNING - step 14500: train loss 0.518389, val loss 0.668601, lr 0.008101, mfu 0.19%
root - WARNING - step 14750: train loss 0.528150, val loss 0.664861, lr 0.008040, mfu 0.18%
root - WARNING - step 15000: train loss 0.531108, val loss 0.668368, lr 0.007977, mfu 0.19%
root - WARNING - step 15250: train loss 0.522443, val loss 0.667280, lr 0.007914, mfu 0.18%
root - WARNING - step 15500: train loss 0.530588, val loss 0.669592, lr 0.007850, mfu 0.18%
root - WARNING - step 15750: train loss 0.527574, val loss 0.669033, lr 0.007785, mfu 0.18%
root - WARNING - step 16000: train loss 0.521579, val loss 0.661641, lr 0.007720, mfu 0.18%
root - WARNING - step 16250: train loss 0.523526, val loss 0.667315, lr 0.007654, mfu 0.18%
root - WARNING - step 16500: train loss 0.532002, val loss 0.670216, lr 0.007588, mfu 0.19%
root - WARNING - step 16750: train loss 0.518548, val loss 0.668226, lr 0.007521, mfu 0.19%
